duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,library
1.732614,3.234497,2.139160,0.005249,0.954041,100Kb,opencv
1.733885,3.396301,2.358337,0.005249,0.973450,100Kb,opencv
1.837512,3.355286,2.236633,0.005249,1.013245,100Kb,opencv
1.424948,3.038025,2.129639,0.005249,0.797241,100Kb,opencv
1.532071,3.067261,2.078674,0.005249,0.850464,100Kb,opencv
1.527582,3.086792,2.183044,0.005249,0.853271,100Kb,opencv
1.426462,2.806641,1.931152,0.005249,0.787964,100Kb,opencv
1.631148,3.068909,2.075745,0.005249,0.907776,100Kb,opencv
1.701068,4.200562,2.834167,0.065735,1.100281,100Kb,pillow
5.001345,19.469543,14.961426,0.227051,3.379517,100Kb,pillow
1.630019,4.041931,2.741760,0.066284,1.053467,100Kb,pillow
1.629893,3.683472,2.317200,0.070496,1.019470,100Kb,pillow
1.733001,3.761963,2.444702,0.062256,1.074097,100Kb,pillow
1.731358,3.955505,2.529175,0.078003,1.109619,100Kb,pillow
1.625930,3.533203,2.274841,0.057312,1.006531,100Kb,pillow
2.039592,4.543274,2.852051,0.076538,1.283203,100Kb,pillow
1.726440,3.684082,2.314331,0.056274,1.050781,100Kb,pillow
1.735641,4.000122,2.596191,0.077698,1.112183,100Kb,pillow
1.630560,3.588440,2.346008,0.060242,1.004700,100Kb,pillow
1.622578,3.434998,2.197266,0.042236,0.986816,100Kb,pillow
1.628535,3.854614,2.532532,0.077271,1.054504,100Kb,pillow
1.938777,3.966797,2.535339,0.058716,1.175598,100Kb,pillow
1.733865,3.818787,2.455383,0.060059,1.064880,100Kb,pillow
1.630034,3.545227,2.274231,0.055481,1.010010,100Kb,pillow
1.732548,3.672974,2.352478,0.057983,1.061951,100Kb,pillow
1.525289,3.509521,2.322754,0.067383,0.983398,100Kb,pillow
1.631564,3.593811,2.315796,0.056213,1.001526,100Kb,pillow
1.629998,3.584290,2.285461,0.058655,1.004578,100Kb,pillow
1.629958,3.620911,2.348389,0.065796,1.036804,100Kb,pillow
1.628474,3.565186,2.306458,0.048035,1.001465,100Kb,pillow
1.632710,3.760620,2.445312,0.079834,1.053711,100Kb,pillow
1.630101,3.640259,2.298523,0.058228,1.001221,100Kb,pillow
1.630102,3.927185,2.584839,0.062744,1.010681,100Kb,pillow
1.732018,4.002258,2.623169,0.084900,1.112854,100Kb,pillow
1.732625,3.919800,2.449280,0.054382,1.060181,100Kb,pillow
1.623370,3.595154,2.258789,0.078003,1.035522,100Kb,pillow
1.731810,3.445129,2.288269,0.020691,1.005981,100Kb,pillow
1.629967,3.369019,2.278992,0.019836,0.952454,100Kb,pillow
1.629056,3.627563,2.436035,0.040527,1.010132,100Kb,pillow
1.524251,3.181763,2.142334,0.022217,0.898743,100Kb,pillow
1.730884,3.459351,2.325317,0.021240,1.010437,100Kb,pillow
1.631557,3.311218,2.182007,0.021179,0.951111,100Kb,pillow
1.628358,3.471558,2.331116,0.020630,0.952576,100Kb,pillow
1.628346,3.474548,2.331787,0.040161,0.996277,100Kb,pillow
1.634144,3.462891,2.353516,0.020081,0.966370,100Kb,pillow
1.628128,3.337463,2.232300,0.022095,0.948059,100Kb,pillow
1.629961,3.486694,2.310303,0.042175,1.002380,100Kb,pillow
1.625748,3.361938,2.212280,0.035278,0.974304,100Kb,pillow
1.630465,3.437561,2.270264,0.043396,0.996765,100Kb,pillow
1.627978,3.432434,2.245972,0.044556,0.995483,100Kb,pillow
1.630574,3.239258,2.152832,0.020935,0.948792,100Kb,pillow
1.623480,3.369446,2.176880,0.041687,0.993103,100Kb,pillow
1.631593,3.375977,2.290527,0.020752,0.975769,100Kb,pillow
1.834270,3.626587,2.382385,0.021179,1.060974,100Kb,pillow
1.634049,3.399780,2.276123,0.022278,0.951721,100Kb,pillow
1.523832,3.324341,2.273376,0.021606,0.914429,100Kb,pillow
1.631843,3.559814,2.426697,0.041443,1.000793,100Kb,pillow
1.626878,3.366943,2.211975,0.020508,0.949341,100Kb,pillow
1.630806,3.366455,2.281189,0.021729,0.948181,100Kb,pillow
1.526293,3.336792,2.247009,0.040649,0.946594,100Kb,pillow
1.733061,3.588379,2.366333,0.021729,1.010010,100Kb,pillow
1.733493,3.516968,2.340820,0.022034,1.008240,100Kb,pillow
1.732149,3.568115,2.390930,0.041748,1.055969,100Kb,pillow
1.630028,3.261719,2.174194,0.019897,0.952881,100Kb,pillow
