duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,video,library
8.278329,24.122009,17.971008,0.005127,4.629028,540Kb,opencv
12.995888,31.268860,22.359009,0.005127,7.162048,540Kb,opencv
7.570907,22.542908,17.033691,0.005127,4.228699,540Kb,opencv
7.466680,22.489075,17.061157,0.005127,4.173889,540Kb,opencv
10.630954,27.271423,20.028259,0.005127,5.900940,540Kb,opencv
8.705878,25.484619,19.123718,0.005127,4.899414,540Kb,opencv
9.718376,25.559998,18.908752,0.005371,5.429993,540Kb,opencv
10.128762,26.291199,19.106750,0.005371,5.592590,540Kb,opencv
12.278201,30.464722,22.181519,0.005371,6.788452,540Kb,opencv
9.068568,25.050903,18.559814,0.005371,5.061035,540Kb,opencv
9.860112,25.737793,18.925354,0.005371,5.503906,540Kb,opencv
8.595409,24.870422,18.603821,0.005371,4.807312,540Kb,opencv
10.745154,27.704041,20.049316,0.005432,5.974304,540Kb,opencv
9.003009,25.175415,18.513794,0.005432,5.048828,540Kb,opencv
11.356943,28.056335,20.264526,0.005432,6.306702,540Kb,opencv
11.459111,29.810913,21.958984,0.005432,6.403015,540Kb,opencv
8.797923,24.477722,18.342102,0.005432,4.932678,540Kb,opencv
8.391529,24.109985,17.882202,0.005432,4.694763,540Kb,opencv
4.342122,10.798218,7.263855,0.081299,2.585449,540Kb,ffmpeg
5.865867,12.447327,8.203369,0.036011,3.323853,540Kb,ffmpeg
4.418771,10.341492,6.965027,0.036499,2.541809,540Kb,ffmpeg
7.721982,15.443542,9.811523,0.059509,4.392090,540Kb,ffmpeg
3.665134,9.034973,6.197388,0.031860,2.114624,540Kb,ffmpeg
5.501934,12.961670,8.865112,0.039062,3.170227,540Kb,ffmpeg
6.438179,13.467651,8.684387,0.053162,3.667908,540Kb,ffmpeg
3.777819,9.295410,6.354919,0.029053,2.179749,540Kb,ffmpeg
6.401686,13.185059,8.574341,0.061157,3.650085,540Kb,ffmpeg
3.999574,9.507812,6.670593,0.017517,2.262085,540Kb,ffmpeg
4.585070,9.914368,6.921509,0.017517,2.544373,540Kb,ffmpeg
4.216588,9.360962,6.527100,0.017517,2.315125,540Kb,ffmpeg
6.565356,13.427429,9.294861,0.017517,3.597107,540Kb,ffmpeg
4.277373,9.461060,6.710754,0.017517,2.344116,540Kb,ffmpeg
3.706643,8.758057,6.248840,0.017517,2.052124,540Kb,ffmpeg
5.634255,11.378052,7.730042,0.017517,3.091919,540Kb,ffmpeg
4.039712,9.167114,6.429565,0.017517,2.259094,540Kb,ffmpeg
3.984930,9.268005,6.520813,0.017517,2.217590,540Kb,ffmpeg
4.342797,9.588135,6.804626,0.017517,2.394409,540Kb,ffmpeg
5.573600,12.146118,8.525208,0.017517,3.064148,540Kb,ffmpeg
5.284841,10.778931,7.376404,0.017517,2.911377,540Kb,ffmpeg
6.636017,12.844849,8.560059,0.003540,3.653625,540Kb,ffmpeg
5.512412,11.107239,7.639404,0.003540,3.015015,540Kb,ffmpeg
5.062723,10.534302,7.195679,0.003540,2.783325,540Kb,ffmpeg
5.560133,12.105835,8.481750,0.003540,3.053589,540Kb,ffmpeg
5.465280,10.846558,7.410156,0.003540,2.980042,540Kb,ffmpeg
5.015949,10.294922,7.234985,0.003540,2.749634,540Kb,ffmpeg
5.245072,10.863892,7.436523,0.003540,2.875732,540Kb,ffmpeg
3.953621,9.081665,6.455933,0.003540,2.197327,540Kb,ffmpeg
3.831710,8.846436,6.237610,0.003540,2.116150,540Kb,ffmpeg
6.323278,12.246460,8.297180,0.003540,3.458191,540Kb,ffmpeg
5.829208,12.479980,8.722229,0.003540,3.197205,540Kb,ffmpeg
3.750985,8.650208,6.210754,0.003540,2.075562,540Kb,ffmpeg
4.501633,9.747559,6.670471,0.004639,2.488770,540Kb,ffmpeg
4.025931,9.051270,6.328796,0.004639,2.218567,540Kb,ffmpeg
6.330581,12.212524,8.211487,0.004639,3.473389,540Kb,ffmpeg
5.825730,11.553101,7.844727,0.004639,3.179077,540Kb,ffmpeg
6.539293,13.611267,9.360901,0.004639,3.579956,540Kb,ffmpeg
7.081229,14.150818,9.434998,0.004639,3.867920,540Kb,ffmpeg
