compute_time,download_size,download_time,video,library,upload_size,upload_time
1.442079,1000002,1.792197,1Mb,moviepy,7932321,18.276424
1.452303,1000002,1.896945,1Mb,moviepy,7932321,16.363287
2.219113,1000002,2.485619,1Mb,ffmpeg,4793381,10.177093
2.201534,1000002,2.999783,1Mb,ffmpeg,4793381,10.374186
1.430403,1000002,2.450548,1Mb,imageio,7929714,14.337775
1.407844,1000002,1.635975,1Mb,imageio,7929714,26.766554
1.362461,1000002,2.125166,1Mb,opencv,7932321,9.614843
1.37862,1000002,1.82462,1Mb,opencv,7932321,11.456189
