duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,video,library
13.199181,33.226379,23.821777,0.060303,7.550354,1Mb,opencv
14.738040,35.119019,24.947876,0.060303,8.228882,1Mb,opencv
21.614682,74.619324,40.999878,0.225647,12.784363,1Mb,moviepy
22.991443,63.590332,45.682678,0.189758,13.528442,1Mb,moviepy
18.320575,44.165527,30.319153,0.186279,10.738831,1Mb,imageio
29.893485,60.938965,39.559387,0.241211,17.153137,1Mb,imageio
14.982072,40.956604,29.984924,0.087891,9.004089,1Mb,ffmpeg
15.658486,40.818481,30.204041,0.087891,9.132263,1Mb,ffmpeg
