compute_time,download_size,download_time,image,library,upload_size,upload_time
0.002418,100000,1.018439,100Kb,pillow,1454,0.367588
0.002519,100000,1.289338,100Kb,pillow,1454,0.402339
0.002714,100000,1.125473,100Kb,pillow,1454,0.358258
0.002432,100000,1.216237,100Kb,pillow,1454,0.372072
0.002379,100000,1.281797,100Kb,pillow,1454,0.509588
0.002409,100000,1.290062,100Kb,pillow,1454,0.401797
0.002399,100000,1.251322,100Kb,pillow,1454,0.407095
0.00237,100000,1.135677,100Kb,pillow,1454,0.456264
0.427433,100000,1.211399,100Kb,wand,3025,0.454383
0.426298,100000,1.22766,100Kb,wand,3025,0.429352
0.009695,100000,1.286397,100Kb,wand,3025,0.395838
0.009932,100000,1.340713,100Kb,wand,3025,0.444864
0.01018,100000,1.154065,100Kb,wand,3025,0.427155
0.010094,100000,1.289712,100Kb,wand,3025,0.39461
0.009758,100000,1.184684,100Kb,wand,3025,0.395752
0.009903,100000,1.188904,100Kb,wand,3025,0.39461
0.009735,100000,1.290285,100Kb,wand,3025,0.394749
0.009978,100000,1.137134,100Kb,wand,3025,0.444399
0.009674,100000,1.187618,100Kb,wand,3025,0.39487
0.009679,100000,1.292196,100Kb,wand,3025,0.395066
0.009598,100000,1.132097,100Kb,wand,3025,0.451843
0.009928,100000,1.12893,100Kb,wand,3025,0.454534
0.009688,100000,1.171358,100Kb,wand,3025,0.412868
0.009725,100000,1.011413,100Kb,wand,3025,0.367065
0.009826,100000,1.186061,100Kb,wand,3025,0.392737
0.009734,100000,1.284169,100Kb,wand,3025,0.502611
0.009631,100000,1.187616,100Kb,wand,3025,0.395516
0.011067,100000,1.183494,100Kb,wand,3025,0.395113
0.009675,100000,1.284905,100Kb,wand,3025,0.394586
0.009681,100000,1.289436,100Kb,wand,3025,0.395085
0.009928,100000,1.184363,100Kb,wand,3025,0.392788
0.009662,100000,1.292785,100Kb,wand,3025,0.493688
0.009655,100000,1.08706,100Kb,wand,3025,0.39414
0.009936,100000,1.187543,100Kb,wand,3025,0.393859
0.009753,100000,1.187085,100Kb,wand,3025,0.393499
0.0098,100000,1.288315,100Kb,wand,3025,0.394533
0.009864,100000,1.187138,100Kb,wand,3025,0.394308
0.009697,100000,1.26674,100Kb,wand,3025,0.418484
0.009661,100000,1.231315,100Kb,wand,3025,0.453519
0.00966,100000,1.138449,100Kb,wand,3025,0.445811
0.009712,100000,1.289286,100Kb,wand,3025,0.39654
0.009673,100000,1.30969,100Kb,wand,3025,0.36857
0.009718,100000,1.135149,100Kb,wand,3025,0.446809
0.009663,100000,1.393302,100Kb,wand,3025,0.392986
0.009663,100000,1.14459,100Kb,wand,3025,0.437255
0.009649,100000,1.025213,100Kb,wand,3025,0.351647
0.009663,100000,1.084529,100Kb,wand,3025,0.395135
0.009683,100000,1.135194,100Kb,wand,3025,0.448186
0.009665,100000,1.491482,100Kb,wand,3025,0.502171
0.009686,100000,1.183496,100Kb,wand,3025,0.395382
0.009784,100000,1.189417,100Kb,wand,3025,0.395513
0.009699,100000,1.138525,100Kb,wand,3025,0.442735
0.00971,100000,1.078252,100Kb,wand,3025,0.401315
0.009664,100000,1.189845,100Kb,wand,3025,0.393625
0.009646,100000,1.493553,100Kb,wand,3025,0.498255
0.009681,100000,1.188216,100Kb,wand,3025,0.393386
0.009657,100000,1.28863,100Kb,wand,3025,0.392348
0.009673,100000,1.313515,100Kb,wand,3025,0.372213
0.009669,100000,1.282286,100Kb,wand,3025,0.401181
0.009752,100000,1.125885,100Kb,wand,3025,0.455475
0.009767,100000,1.592608,100Kb,wand,3025,0.400045
0.009656,100000,1.253677,100Kb,wand,3025,0.430258
0.009739,100000,1.29046,100Kb,wand,3025,0.395226
0.009614,100000,1.188397,100Kb,wand,3025,0.394586
0.00969,100000,1.230507,100Kb,wand,3025,0.45587
0.009763,100000,0.986564,100Kb,wand,3025,0.39134
0.009665,100000,1.253823,100Kb,wand,3025,0.432202
0.009702,100000,1.189939,100Kb,wand,3025,0.389728
0.009636,100000,1.126592,100Kb,wand,3025,0.455719
0.009637,100000,1.130244,100Kb,wand,3025,0.555218
